                                                  
                                                                                                                                                                                                                                                                
         SCF,CCSD
   -1271.364541,   -1272.493410
   -1271.288819,   -1272.459432
   -1271.074868,   -1272.338467
   -1271.131550,   -1272.203769
   -1271.058108,   -1272.192006
   -1251.154694,   -1251.926500
   -1182.867520,   -1183.341749
   -1271.277982,   -1272.494145
   -1270.568473,   -1271.608218
   -1269.534819,   -1270.487165
   -1267.557977,   -1268.470583
   -1264.830277,   -1265.699938
   -1261.222012,   -1262.056219
   -1256.662213,   -1257.468010
