                                                  
                                                                                                                                                                                                                                                                
         SCF,CCSD
   -1262.443655,   -1263.563948
   -1262.377585,   -1263.539594
   -1262.169435,   -1263.425197
   -1262.213000,   -1263.277754
   -1262.151408,   -1263.278173
   -1242.155254,   -1242.922234
   -1174.021445,   -1174.492548
   -1262.366868,   -1263.572410
   -1261.656764,   -1262.689941
   -1260.614962,   -1261.561125
   -1258.626098,   -1259.532806
   -1255.884243,   -1256.748187
   -1252.259797,   -1253.088529
   -1247.682065,   -1248.482734
