 ENTER Z, NR
 PLEASE ENTER RELATIVITY FACTOR.  (0=NR, 1=REL.)
 PLEASE ENTER IUFLAG. (0=U, 1=SU, 2=R).
 PLEASE ENTER NFC, NEL, RATIO, ETOL, XNUM
 PLEASE ENTER N L M J S OCC.
     160.054768   -105.271661
       9.231189   -105.793793
       8.184521   -106.226946
       7.257359   -106.584313
       6.436260   -106.877568
       5.709210   -107.116950
       5.065492   -107.311364
       4.495561   -107.468483
       3.990926   -107.594866
       3.544047   -107.696072
       3.148237   -107.776773
       2.797575   -107.840866
       2.486821   -107.891580
       2.211345   -107.931566
       1.967056   -107.962993
       1.750344   -107.987619
       1.558021   -108.006862
       1.387278   -108.021862
       1.235634   -108.033527
       1.100901   -108.042581
       0.981147   -108.049594
       0.874667   -108.055018
       0.779957   -108.059207
       0.695686   -108.062438
       0.620678   -108.064926
       0.553893   -108.066841
       0.494411   -108.068314
       0.441418   -108.069445
       0.394192   -108.070314
       0.352094   -108.070981
       0.314557   -108.071493
       0.281078   -108.071885
       0.251212   -108.072186
       0.224561   -108.072417
       0.200775   -108.072594
       0.179540   -108.072730
       0.160579   -108.072834
       0.143645   -108.072914
       0.128517   -108.072975
       0.115002   -108.073022
       0.102923   -108.073058
       0.092128   -108.073086
       0.082476   -108.073107
       0.073847   -108.073123
       0.066130   -108.073136
       0.059227   -108.073146
       0.053052   -108.073153
       0.047527   -108.073159
       0.042583   -108.073163
       0.038158   -108.073167
       0.034196   -108.073169
       0.030650   -108.073171
       0.027475   -108.073173
       0.024631   -108.073174
       0.022084   -108.073175
       0.019802   -108.073176
       0.017758   -108.073176
       0.015927   -108.073177
       0.014286   -108.073177
       0.012815   -108.073177
       0.011497   -108.073178
       0.010315   -108.073178
       0.009255   -108.073178
       0.008306   -108.073178
       0.007454   -108.073178
       0.006690   -108.073178
       0.006005   -108.073178
       0.005390   -108.073178
       0.004839   -108.073178
       0.004344   -108.073178
       0.003900   -108.073178
       0.003502   -108.073178
       0.003145   -108.073178
       0.002824   -108.073178
       0.002536   -108.073178
       0.002278   -108.073178
       0.002046   -108.073178
       0.001838   -108.073178
       0.001651   -108.073178
       0.001483   -108.073178
       0.001332   -108.073178
       0.001197   -108.073178
       0.001075   -108.073178
       0.000966   -108.073178
       0.000868   -108.073178
       0.000780   -108.073178
       0.000701   -108.073178
       0.000630   -108.073178
       0.000566   -108.073178
       0.000509   -108.073178
       0.000457   -108.073178
       0.000411   -108.073178
       0.000370   -108.073178
       0.000332   -108.073178
       0.000299   -108.073178
       0.000268   -108.073178
       0.000241   -108.073178
       0.000217   -108.073178
       0.000195   -108.073178
       0.000175   -108.073178
       0.000158   -108.073178
       0.000142   -108.073178
       0.000127   -108.073178
       0.000115   -108.073178
       0.000103   -108.073178
       0.000093   -108.073178
    1   0 0   0/2   1    2.0000         -9.140998
    2   1 1   2/2   1    2.0000         -7.610265
    2   1 0   2/2   1    2.0000         -7.610265
    2   1-1   2/2   1    2.0000         -7.610265
    3   2 2   4/2   1    1.0000         -5.568046
 TOTAL ENERGY =     -108.073178  -2940.844103
 PLEASE ENTER FULL FILENAME.
