 ENTER Z, NR
 PLEASE ENTER RELATIVITY FACTOR.  (0=NR, 1=REL.)
 PLEASE ENTER IUFLAG. (0=U, 1=SU, 2=R).
 PLEASE ENTER NFC, NEL, RATIO, ETOL, XNUM
 PLEASE ENTER N L M J S OCC.
     160.206411   -105.163989
       9.211982   -105.671961
       8.168097   -106.093358
       7.243409   -106.441055
       6.424491   -106.726431
       5.699350   -106.959448
       5.057291   -107.148763
       4.488791   -107.301831
       3.985380   -107.425020
       3.539542   -107.523724
       3.144612   -107.602481
       2.794688   -107.665074
       2.484550   -107.714635
       2.209584   -107.753744
       1.965714   -107.784506
       1.749344   -107.808630
       1.557299   -107.827497
       1.386779   -107.842217
       1.235312   -107.853675
       1.100718   -107.862575
       0.981072   -107.869476
       0.874675   -107.874818
       0.780027   -107.878947
       0.695800   -107.882135
       0.620823   -107.884593
       0.554059   -107.886486
       0.494589   -107.887943
       0.441601   -107.889063
       0.394376   -107.889925
       0.352274   -107.890586
       0.314731   -107.891095
       0.281244   -107.891485
       0.251368   -107.891784
       0.224707   -107.892014
       0.200910   -107.892190
       0.179665   -107.892325
       0.160693   -107.892429
       0.143749   -107.892509
       0.128612   -107.892570
       0.115087   -107.892617
       0.103000   -107.892653
       0.092196   -107.892681
       0.082537   -107.892702
       0.073901   -107.892719
       0.066177   -107.892731
       0.059269   -107.892741
       0.053089   -107.892748
       0.047559   -107.892754
       0.042611   -107.892759
       0.038182   -107.892762
       0.034217   -107.892765
       0.030668   -107.892767
       0.027490   -107.892768
       0.024644   -107.892770
       0.022095   -107.892771
       0.019812   -107.892771
       0.017766   -107.892772
       0.015934   -107.892772
       0.014291   -107.892773
       0.012819   -107.892773
       0.011500   -107.892773
       0.010318   -107.892773
       0.009258   -107.892773
       0.008307   -107.892774
       0.007455   -107.892774
       0.006690   -107.892774
       0.006005   -107.892774
       0.005390   -107.892774
       0.004839   -107.892774
       0.004344   -107.892774
       0.003900   -107.892774
       0.003502   -107.892774
       0.003144   -107.892774
       0.002823   -107.892774
       0.002535   -107.892774
       0.002277   -107.892774
       0.002045   -107.892774
       0.001837   -107.892774
       0.001650   -107.892774
       0.001482   -107.892774
       0.001332   -107.892774
       0.001196   -107.892774
       0.001075   -107.892774
       0.000966   -107.892774
       0.000868   -107.892774
       0.000780   -107.892774
       0.000701   -107.892774
       0.000630   -107.892774
       0.000566   -107.892774
       0.000508   -107.892774
       0.000457   -107.892774
       0.000411   -107.892774
       0.000369   -107.892774
       0.000332   -107.892774
       0.000298   -107.892774
       0.000268   -107.892774
       0.000241   -107.892774
       0.000217   -107.892774
       0.000195   -107.892774
       0.000175   -107.892774
       0.000157   -107.892774
       0.000142   -107.892774
       0.000127   -107.892774
       0.000114   -107.892774
       0.000103   -107.892774
       0.000092   -107.892774
    1   0 0   0/2   1    2.0000         -9.213492
    2   1 1   2/2   1    2.0000         -7.588183
    2   1 0   2/2   1    2.0000         -7.588183
    2   1-1   2/2   1    2.0000         -7.588183
    3   2 2   4/2   1    1.0000         -5.578686
 TOTAL ENERGY =     -107.892774  -2935.935007
 PLEASE ENTER FULL FILENAME.
