                                                  
                                                                                                                                                                                                                                                                
         SCF,CCSD
   -1271.364220,   -1272.047245
   -1271.288498,   -1272.012170
   -1271.074543,   -1271.890456
   -1271.131225,   -1271.757709
   -1271.057785,   -1271.744535
   -1251.154383,   -1251.503058
   -1182.867227,   -1182.959206
   -1271.277561,   -1272.046755
   -1270.568154,   -1271.161948
   -1269.534495,   -1270.042982
   -1267.557649,   -1268.028626
   -1264.829952,   -1265.261171
   -1261.221687,   -1261.621464
   -1256.661892,   -1257.038184
