                                                  
                                                                                                                                                                                                                                                                
        SCF,CCSD
   -168.47499351,   -169.34048575
   -168.41667641,   -169.34021337
   -168.25599464,   -169.27594946
   -168.21481081,   -169.02223619
   -168.17820540,   -169.06007044
   -167.62192425,   -168.39169991
   -166.41965174,   -167.10119377
   -164.47094992,   -165.08070173
   -161.75565318,   -162.29362499
   -157.82272008,   -158.33470736
   -152.94911993,   -153.43088706
   -146.99703743,   -147.45884604
   -139.89783697,   -140.35078601
   -131.66794161,   -132.10843798
    -42.73267503,    -42.84480235
   -168.41391483,   -169.38236953
                                                  
