                                                  
                                                                                                                                                                                                                                                                
        SCF,CCSD
   -168.47337410,   -169.29668555
   -168.41498070,   -169.29380313
   -168.25428301,   -169.22740407
   -168.21315624,   -168.97930249
   -168.17643250,   -169.01449903
   -167.62016028,   -168.34928690
   -166.41772965,   -167.06223608
   -164.46920367,   -165.04614162
   -161.75421539,   -162.26400447
   -157.82146367,   -158.30888498
   -152.94798021,   -153.40883517
   -146.99604878,   -147.44094173
   -139.89709664,   -140.33748573
   -131.66754828,   -132.09973261
    -42.73218189,    -42.84416237
   -168.41221989,   -169.33504985
                                                  
