                                                  
                                                                                                                                                                                                                                                                
        SCF,CCSD
   -942.8842824,   -943.7864329
   -942.8797775,   -943.7837180
   -942.7642034,   -943.7050372
   -942.6761110,   -943.5297299
   -942.6707777,   -943.5492670
   -937.0764258,   -937.7988249
   -895.4538603,   -895.9044453
   -942.8629334,   -943.8085776
   -942.1798572,   -943.0082194
   -941.1370418,   -941.9260697
   -939.4456437,   -940.2031345
