                                                  
                                                                                                                                                                                                                                                                
        SCF,CCSD
   -942.8837939,   -943.7370302
   -942.8792336,   -943.7319966
   -942.7636159,   -943.6516418
   -942.6758498,   -943.4806706
   -942.6702128,   -943.4970734
   -937.0762546,   -937.7676001
   -895.4536810,   -895.8877172
   -942.8622819,   -943.7566113
   -942.1792827,   -942.9590518
   -941.1365767,   -941.8817132
   -939.4452973,   -940.1649333
