 ENTER Z, NR
 PLEASE ENTER RELATIVITY FACTOR.  (0=NR, 1=REL.)
 PLEASE ENTER IUFLAG. (0=U, 1=SU, 2=R).
 PLEASE ENTER NFC, NEL, RATIO, ETOL, XNUM
 PLEASE ENTER N L M J S OCC.
     110.753447    -64.725000
       7.508676    -65.255689
       6.637205    -65.698346
       5.866547    -66.065470
       5.185386    -66.368189
       4.583605    -66.616349
       4.055418    -66.818601
       3.593372    -66.982484
       3.184379    -67.114522
       2.822335    -67.220312
       2.501833    -67.304614
       2.218086    -67.371444
       1.966859    -67.424160
       1.744404    -67.465547
       1.547406    -67.497896
       1.372930    -67.523076
       1.218383    -67.542600
       1.081470    -67.557686
       0.960162    -67.569304
       0.852662    -67.578226
       0.757382    -67.585060
       0.672919    -67.590282
       0.598029    -67.594264
       0.531614    -67.597296
       0.472702    -67.599601
       0.420434    -67.601350
       0.374048    -67.602677
       0.333226    -67.603683
       0.297287    -67.604445
       0.265321    -67.605022
       0.236877    -67.605459
       0.211554    -67.605790
       0.189000    -67.606041
       0.168903    -67.606231
       0.150990    -67.606375
       0.135015    -67.606484
       0.120765    -67.606568
       0.108048    -67.606631
       0.096695    -67.606679
       0.086557    -67.606715
       0.077500    -67.606743
       0.069407    -67.606765
       0.062172    -67.606781
       0.055704    -67.606794
       0.049919    -67.606803
       0.044744    -67.606811
       0.040112    -67.606816
       0.035967    -67.606821
       0.032256    -67.606824
       0.028932    -67.606827
       0.025955    -67.606829
       0.023288    -67.606831
       0.020898    -67.606832
       0.018756    -67.606833
       0.016836    -67.606834
       0.015115    -67.606834
       0.013571    -67.606835
       0.012186    -67.606835
       0.010944    -67.606835
       0.009830    -67.606836
       0.008830    -67.606836
       0.007933    -67.606836
       0.007127    -67.606836
       0.006404    -67.606836
       0.005755    -67.606836
       0.005172    -67.606836
       0.004648    -67.606836
       0.004178    -67.606836
       0.003756    -67.606836
       0.003376    -67.606836
       0.003035    -67.606836
       0.002729    -67.606836
       0.002454    -67.606836
       0.002207    -67.606836
       0.001984    -67.606836
       0.001785    -67.606836
       0.001605    -67.606836
       0.001444    -67.606836
       0.001298    -67.606836
       0.001168    -67.606836
       0.001051    -67.606836
       0.000945    -67.606836
       0.000850    -67.606836
       0.000765    -67.606836
       0.000688    -67.606836
       0.000619    -67.606836
       0.000557    -67.606836
       0.000501    -67.606836
       0.000451    -67.606836
       0.000406    -67.606836
       0.000365    -67.606836
       0.000329    -67.606836
       0.000296    -67.606836
       0.000266    -67.606836
       0.000240    -67.606836
       0.000216    -67.606836
       0.000194    -67.606836
       0.000175    -67.606836
       0.000157    -67.606836
       0.000142    -67.606836
       0.000127    -67.606836
       0.000115    -67.606836
       0.000103    -67.606836
       0.000093    -67.606836
    1   0 0   0/2   1    2.0000         -5.232972
    2   1 1   2/2   1    2.0000         -3.953569
    2   1 0   2/2   1    2.0000         -3.953569
    2   1-1   2/2   1    2.0000         -3.953569
    3   2 2   4/2   1    1.0000         -2.391855
 TOTAL ENERGY =      -67.606836  -1839.690189
 PLEASE ENTER FULL FILENAME.
