 ENTER Z, NR
 PLEASE ENTER RELATIVITY FACTOR.  (0=NR, 1=REL.)
 PLEASE ENTER IUFLAG. (0=U, 1=SU, 2=R).
 PLEASE ENTER NFC, NEL, RATIO, ETOL, XNUM
 PLEASE ENTER N L M J S OCC.
     110.211691    -64.548521
       7.639381    -65.083339
       6.745030    -65.530198
       5.955030    -65.901210
       5.257653    -66.207305
       4.642380    -66.458251
       4.099795    -66.662705
       3.621481    -66.828261
       3.199928    -66.961517
       2.828453    -67.068155
       2.501114    -67.153016
       2.212645    -67.220185
       1.958386    -67.273082
       1.734219    -67.314541
       1.536515    -67.346888
       1.362077    -67.372022
       1.208586    -67.391475
       1.072716    -67.406479
       0.952349    -67.418014
       0.845697    -67.426857
       0.751650    -67.433618
       0.668429    -67.438776
       0.594713    -67.442703
       0.529378    -67.445687
       0.471437    -67.447953
       0.420024    -67.449670
       0.374378    -67.450971
       0.333830    -67.451955
       0.297791    -67.452700
       0.265744    -67.453263
       0.237232    -67.453689
       0.211854    -67.454012
       0.189255    -67.454255
       0.169121    -67.454440
       0.151177    -67.454580
       0.135177    -67.454686
       0.120905    -67.454766
       0.108170    -67.454828
       0.096802    -67.454874
       0.086651    -67.454910
       0.077583    -67.454937
       0.069481    -67.454957
       0.062239    -67.454973
       0.055764    -67.454985
       0.049974    -67.454995
       0.044793    -67.455002
       0.040157    -67.455007
       0.036008    -67.455012
       0.032293    -67.455015
       0.028967    -67.455017
       0.025987    -67.455019
       0.023318    -67.455021
       0.020926    -67.455022
       0.018782    -67.455023
       0.016860    -67.455024
       0.015137    -67.455024
       0.013591    -67.455025
       0.012205    -67.455025
       0.010962    -67.455025
       0.009846    -67.455026
       0.008845    -67.455026
       0.007947    -67.455026
       0.007140    -67.455026
       0.006416    -67.455026
       0.005766    -67.455026
       0.005182    -67.455026
       0.004658    -67.455026
       0.004187    -67.455026
       0.003764    -67.455026
       0.003384    -67.455026
       0.003043    -67.455027
       0.002736    -67.455027
       0.002460    -67.455027
       0.002212    -67.455027
       0.001990    -67.455027
       0.001789    -67.455027
       0.001610    -67.455027
       0.001448    -67.455027
       0.001302    -67.455027
       0.001172    -67.455027
       0.001054    -67.455027
       0.000948    -67.455027
       0.000853    -67.455027
       0.000768    -67.455027
       0.000691    -67.455027
       0.000621    -67.455027
       0.000559    -67.455027
       0.000503    -67.455027
       0.000453    -67.455027
       0.000408    -67.455027
       0.000367    -67.455027
       0.000330    -67.455027
       0.000297    -67.455027
       0.000267    -67.455027
       0.000241    -67.455027
       0.000217    -67.455027
       0.000195    -67.455027
       0.000176    -67.455027
       0.000158    -67.455027
       0.000142    -67.455027
       0.000128    -67.455027
       0.000115    -67.455027
       0.000104    -67.455027
       0.000093    -67.455027
    1   0 0   0/2   1    2.0000         -5.203926
    2   1 1   2/2   1    2.0000         -3.961774
    2   1 0   2/2   1    2.0000         -3.961774
    2   1-1   2/2   1    2.0000         -3.961774
    3   2 2   4/2   1    1.0000         -2.408853
 TOTAL ENERGY =      -67.455027  -1835.559201
 PLEASE ENTER FULL FILENAME.
