                                                  
                                                                                                                                                                                                                                                                
     Z,SCF,CCSD
   1.125,   -1519.566844,   -1520.965623
   1.175,   -1519.584692,   -1520.982971
   1.225,   -1519.598211,   -1520.995629
   1.275,   -1519.608256,   -1521.004519
   1.325,   -1519.615507,   -1521.010388
   1.375,   -1519.620501,   -1521.013834
   1.425,   -1519.623670,   -1521.015359
   1.475,   -1519.625360,   -1521.015348
   1.525,   -1519.625851,   -1521.014127
   1.575,   -1519.625370,   -1521.011962
   1.625,   -1519.624102,   -1521.009061
   1.675,   -1519.622201,   -1521.005610
   1.725,   -1519.619790,   -1521.001749
   1.775,   -1519.616973,   -1520.997596
   1.825,   -1519.613834,   -1520.993245
   1.875,   -1519.610445,   -1520.988780
   1.925,   -1519.606864,   -1520.984256
   1.975,   -1519.603138,   -1520.979732
   2.025,   -1519.599309,   -1520.975233
   2.075,   -1519.595409,   -1520.970836
