                                                  
                                                                                                                                                                                                                                                                
     Z,SCF,CCSD
   1.125,   -169.5161414,   -170.5276017
   1.175,   -169.5338800,   -170.5448111
   1.225,   -169.5472985,   -170.5573367
   1.275,   -169.5572528,   -170.5661059
   1.325,   -169.5644207,   -170.5718625
   1.375,   -169.5693415,   -170.5752129
   1.425,   -169.5724460,   -170.5766443
   1.475,   -169.5740803,   -170.5765598
   1.525,   -169.5745235,   -170.5752777
   1.575,   -169.5740023,   -170.5730594
   1.625,   -169.5727013,   -170.5701246
   1.675,   -169.5707716,   -170.5666461
   1.725,   -169.5683375,   -170.5627630
   1.775,   -169.5655013,   -170.5585883
   1.825,   -169.5623475,   -170.5542276
   1.875,   -169.5589460,   -170.5497528
   1.925,   -169.5553549,   -170.5452323
   1.975,   -169.5516221,   -170.5407000
   2.025,   -169.5477876,   -170.5362247
   2.075,   -169.5438846,   -170.5318168
