                                                  
                                                                                                                                                                                                                                                                
     Z,SCF,CCSD
   1.125,   -169.5160682,   -170.5074663
   1.175,   -169.5338153,   -170.5247027
   1.225,   -169.5472401,   -170.5372460
   1.275,   -169.5571996,   -170.5460317
   1.325,   -169.5643723,   -170.5518020
   1.375,   -169.5692973,   -170.5551639
   1.425,   -169.5724053,   -170.5566051
   1.475,   -169.5740423,   -170.5565239
   1.525,   -169.5744877,   -170.5552372
   1.575,   -169.5739680,   -170.5530195
   1.625,   -169.5726681,   -170.5500795
   1.675,   -169.5707394,   -170.5465927
   1.725,   -169.5683060,   -170.5427018
   1.775,   -169.5654704,   -170.5385209
   1.825,   -169.5623170,   -170.5341519
   1.875,   -169.5589159,   -170.5296671
   1.925,   -169.5553249,   -170.5251317
   1.975,   -169.5515921,   -170.5205973
   2.025,   -169.5477574,   -170.5161107
   2.075,   -169.5438539,   -170.5116976
