                                                  
                                                                                                                                                                                                                                                                
     Z,SCF,CCSD
   0.000,      0.0000000,      0.0000000
   0.000,      0.0000000,      0.0000000
   0.000,      0.0000000,      0.0000000
   0.000,      0.0000000,      0.0000000
   0.000,      0.0000000,      0.0000000
   0.000,      0.0000000,      0.0000000
   0.000,      0.0000000,      0.0000000
   0.000,      0.0000000,      0.0000000
   0.000,      0.0000000,      0.0000000
   0.000,      0.0000000,      0.0000000
   1.625,   -168.9729285,   -169.9615854
   1.675,   -168.9710411,   -169.9581432
   1.725,   -168.9686451,   -169.9542942
   1.775,   -168.9658435,   -169.9501559
   1.825,   -168.9627211,   -169.9458246
   1.875,   -168.9593481,   -169.9413743
   1.925,   -168.9557829,   -169.9368655
   1.975,   -168.9520738,   -169.9323567
   2.025,   -168.9482608,   -169.9278926
   2.075,   -168.9443774,   -169.9235098
                                                  
