                                                  
                                                                                                                                                                                                                                                                
     Z,SCF,CCSD
   1.125,   -170.3806201,   -171.3811778
   1.175,   -170.3983356,   -171.3983357
   1.225,   -170.4117793,   -171.4108569
   1.275,   -170.4217922,   -171.4196499
   1.325,   -170.4290412,   -171.4254528
   1.375,   -170.4340573,   -171.4288652
   1.425,   -170.4372653,   -171.4303738
   1.475,   -170.4390068,   -171.4303678
   1.525,   -170.4395581,   -171.4291684
   1.575,   -170.4391436,   -171.4270401
   1.625,   -170.4379464,   -171.4241894
   1.675,   -170.4361168,   -171.4208015
   1.725,   -170.4337783,   -171.4170058
   1.775,   -170.4310330,   -171.4129072
   1.825,   -170.4279652,   -171.4086263
   1.875,   -170.4246448,   -171.4042231
   1.925,   -170.4211298,   -171.3997686
   1.975,   -170.4174686,   -171.3953181
   2.025,   -170.4137011,   -171.3908977
   2.075,   -170.4098606,   -171.3865394
