                                                  
                                                                                                                                                                                                                                                                
     Z,SCF,CCSD
   1.125,   -170.3788285,   -171.3147106
   1.175,   -170.3965957,   -171.3319645
   1.225,   -170.4100707,   -171.3445335
   1.275,   -170.4201027,   -171.3533576
   1.325,   -170.4273641,   -171.3591759
   1.375,   -170.4323887,   -171.3625862
   1.425,   -170.4356028,   -171.3640831
   1.475,   -170.4373486,   -171.3640643
   1.525,   -170.4379024,   -171.3628372
   1.575,   -170.4374893,   -171.3606817
   1.625,   -170.4362928,   -171.3578077
   1.675,   -170.4344639,   -171.3543911
   1.725,   -170.4321261,   -171.3505774
   1.775,   -170.4293816,   -171.3464782
   1.825,   -170.4263142,   -171.3421904
   1.875,   -170.4229936,   -171.3377935
   1.925,   -170.4194776,   -171.3333391
   1.975,   -170.4158142,   -171.3288794
   2.025,   -170.4120434,   -171.3244625
   2.075,   -170.4081988,   -171.3201189
