                                                  
                                                                                                                                                                                                                                                                
     Z,SCF,CCSD
   1.125,   -1519.566844,   -1520.530554
   1.175,   -1519.584692,   -1520.547907
   1.225,   -1519.598211,   -1520.560560
   1.275,   -1519.608256,   -1520.569442
   1.325,   -1519.615507,   -1520.575301
   1.375,   -1519.620501,   -1520.578743
   1.425,   -1519.623670,   -1520.580254
   1.475,   -1519.625360,   -1520.580234
   1.525,   -1519.625851,   -1520.579004
   1.575,   -1519.625370,   -1520.576831
   1.625,   -1519.624102,   -1520.573930
   1.675,   -1519.622201,   -1520.570479
   1.725,   -1519.619790,   -1520.566615
   1.775,   -1519.616973,   -1520.562449
   1.825,   -1519.613834,   -1520.558096
   1.875,   -1519.610445,   -1520.553625
   1.925,   -1519.606864,   -1520.549111
   1.975,   -1519.603138,   -1520.544586
   2.025,   -1519.599309,   -1520.540102
   2.075,   -1519.595409,   -1520.535695
