                                                  
                                                                                                                                                                                                                                                                
     Z,SCF,CCSD
   1.10,   -948.5328396,   -949.4508571
   1.15,   -948.5699323,   -949.4838754
   1.20,   -948.6009814,   -949.5107181
   1.25,   -948.6268564,   -949.5323985
   1.30,   -948.6482814,   -949.5497500
   1.35,   -948.6658731,   -949.5634657
   1.40,   -948.6801633,   -949.5741247
   1.45,   -948.6916146,   -949.5822074
   1.50,   -948.7006296,   -949.5881330
   1.55,   -948.7075587,   -949.5922486
   1.60,   -948.7127063,   -949.5948444
   1.65,   -948.7163358,   -949.5961701
   1.70,   -948.7186748,   -949.5964403
   1.75,   -948.7199196,   -949.5958387
   1.80,   -948.7202389,   -949.5945029
   1.85,   -948.7197781,   -949.5925775
   1.90,   -948.7186619,   -949.5901672
   1.95,   -948.7169976,   -949.5873723
   2.00,   -948.7148772,   -949.5842723
   2.05,   -948.7123798,   -949.5809369
