                                                  
                                                                                                                                                                                                                                                                
     Z,SCF,CCSD
   1.10,   -71.42337798,   -72.01850195
   1.15,   -71.46070911,   -72.05169710
   1.20,   -71.49198334,   -72.07872801
   1.25,   -71.51805344,   -72.10058706
   1.30,   -71.53963760,   -72.11809711
   1.35,   -71.55735304,   -72.13194478
   1.40,   -71.57173592,   -72.14270661
   1.45,   -71.58325373,   -72.15086922
   1.50,   -71.59231406,   -72.15684907
   1.55,   -71.59927156,   -72.16099572
   1.60,   -71.60443399,   -72.16360796
   1.65,   -71.60806768,   -72.16493386
   1.70,   -71.61040265,   -72.16519168
   1.75,   -71.61163708,   -72.16456509
   1.80,   -71.61194159,   -72.16320731
   1.85,   -71.61146276,   -72.16125262
   1.90,   -71.61032650,   -72.15881403
   1.95,   -71.60864085,   -72.15598991
   2.00,   -71.60649851,   -72.15285669
   2.05,   -71.60397892,   -72.14949208
