     Z,SCF,CCSD
   1.10,   -71.42902830,   -71.98655609
   1.15,   -71.46589986,   -72.01952721
   1.20,   -71.49676516,   -72.04632834
   1.25,   -71.52248714,   -72.06797202
   1.30,   -71.54378436,   -72.08529079
   1.35,   -71.56126886,   -72.09897573
   1.40,   -71.57546929,   -72.10960567
   1.45,   -71.58684531,   -72.11766946
   1.50,   -71.59579741,   -72.12357573
   1.55,   -71.60267419,   -72.12767445
   1.60,   -71.60777842,   -72.13025438
   1.65,   -71.61137233,   -72.13156912
   1.70,   -71.61368246,   -72.13183192
   1.75,   -71.61490410,   -72.13121506
   1.80,   -71.61520538,   -72.12988116
   1.85,   -71.61473089,   -72.12795505
   1.90,   -71.61360484,   -72.12554969
   1.95,   -71.61193397,   -72.12275855
   2.00,   -71.60980986,   -72.11966598
   2.05,   -71.60731114,   -72.11633545
