
     Z,SCF,CCSD
   1.16,   -1022.752460,   -1023.988392
   1.21,   -1022.846596,   -1024.087596
   1.26,   -1022.919510,   -1024.164613
   1.31,   -1022.974721,   -1024.223088
   1.36,   -1023.015101,   -1024.266143
   1.41,   -1023.043095,   -1024.296498
   1.46,   -1023.060827,   -1024.316519
   1.51,   -1023.070146,   -1024.328245
   1.56,   -1023.072656,   -1024.333414
   1.61,   -1023.069745,   -1024.333464
   1.66,   -1023.062625,   -1024.329590
   1.71,   -1023.052417,   -1024.322775
   1.76,   -1023.040651,   -1024.313327
   1.81,   -1023.030872,   -1024.300900
   1.86,   -1023.021475,   -1024.288480
   1.91,   -1023.011640,   -1024.275914
   1.96,   -1023.001413,   -1024.263278
   2.01,   -1022.991047,   -1024.250593
   2.06,   -1022.980878,   -1024.237936
   2.11,   -1022.971239,   -1024.225508
   2.16,   -1022.962362,   -1024.213702
