      Z,SCF,CCSD
1.16000000,-86.29654317,-87.16734282
1.21000000,-86.38932147,-87.26536304
1.26000000,-86.46107962,-87.34134352
1.31000000,-86.51528558,-87.39888601
1.36000000,-86.55478734,-87.44109878
1.41000000,-86.58201494,-87.47069161
1.46000000,-86.59907791,-87.49002664
1.51000000,-86.60781385,-87.50112983
1.56000000,-86.60981959,-87.50571659
1.61000000,-86.60648170,-87.50525100
1.66000000,-86.59902180,-87.50090621
1.71000000,-86.58861075,-87.49362461
1.76000000,-86.57744105,-87.48312280
1.81000000,-86.56841632,-87.47064218
1.86000000,-86.55922184,-87.45809315
1.91000000,-86.54943713,-87.44539550
1.96000000,-86.53918290,-87.43264974
2.01000000,-86.52873753,-87.41988931
2.06000000,-86.51845358,-87.40713523
2.11000000,-86.50868620,-87.39456409
2.16000000,-86.49968438,-87.38257055
