      Z,SCF,CCSD
1.16000000,-86.29598769,-87.15245326
1.21000000,-86.38880262,-87.25076603
1.26000000,-86.46058556,-87.32699282
1.31000000,-86.51480774,-87.38474991
1.36000000,-86.55431995,-87.42714765
1.41000000,-86.58155444,-87.45690115
1.46000000,-86.59862226,-87.47638497
1.51000000,-86.60736196,-87.48762266
1.56000000,-86.60937090,-87.49233273
1.61000000,-86.60603605,-87.49197726
1.66000000,-86.59857960,-87.48774709
1.71000000,-86.58817319,-87.48055985
1.76000000,-86.57701232,-87.47011811
1.81000000,-86.56799348,-87.45770140
1.86000000,-86.55880383,-87.44519742
1.91000000,-86.54902344,-87.43255214
1.96000000,-86.53877266,-87.41984591
2.01000000,-86.52832948,-87.40712252
2.06000000,-86.51804620,-87.39439192
2.11000000,-86.50827797,-87.38187856
2.16000000,-86.49927415,-87.36992612
