       Z,SCF,CCSD
 1.160, -86.29217609,-87.11367637
 1.210, -86.38521200,-87.21273725
 1.260, -86.45719883,-87.28962714
 1.310, -86.51161153,-87.34797038
 1.360, -86.55129748,-87.39088326
 1.410, -86.57868619,-87.42109210
 1.460, -86.59588911,-87.44097066
 1.510, -86.60474684,-87.45256109
 1.560, -86.60685846,-87.45758862
 1.610, -86.60361158,-87.45751665
 1.660, -86.59622815,-87.45355225
 1.710, -86.58588021,-87.44659847
 1.760, -86.57476916,-87.43631643
 1.810, -86.56577434,-87.42406200
 1.860, -86.55659523,-87.41168462
 1.910, -86.54681850,-87.39916153
 1.960, -86.53656725,-87.38654063
 2.010, -86.52612025,-87.37389221
 2.060, -86.51582938,-87.36123367
 2.110, -86.50604948,-87.34879858
 2.160, -86.49703105,-87.33696075
