Z,SCF,CCSD
1.16000000,-86.33603387,-87.20802588
1.21000000,-86.42887958,-87.30608193
1.26000000,-86.50068309,-87.38207597
1.31000000,-86.55491708,-87.43961492
1.36000000,-86.59443445,-87.48181430
1.41000000,-86.62166947,-87.51138852
1.46000000,-86.63873489,-87.53070307
1.51000000,-86.64747055,-87.54178575
1.56000000,-86.64947467,-87.54635279
1.61000000,-86.64613447,-87.54587149
1.66000000,-86.63867129,-87.54150757
1.71000000,-86.62825327,-87.53421094
1.76000000,-86.61703748,-87.52371614
1.81000000,-86.60797091,-87.51121349
1.86000000,-86.59875618,-87.49863647
1.91000000,-86.58896362,-87.48591030
1.96000000,-86.57871282,-87.47313744
2.01000000,-86.56828236,-87.46035061
2.06000000,-86.55802406,-87.44758399
2.11000000,-86.54828891,-87.43501003
2.16000000,-86.53931968,-87.42302134
