Z,SCF,CCSD
1.16000000,-86.33546974,-87.19313252
1.21000000,-86.42835212,-87.29148174
1.26000000,-86.50018042,-87.36772101
1.31000000,-86.55443060,-87.42547411
1.36000000,-86.59395837,-87.46785840
1.41000000,-86.62120020,-87.49759301
1.46000000,-86.63827039,-87.51705591
1.51000000,-86.64700972,-87.52827318
1.56000000,-86.64901695,-87.53296312
1.61000000,-86.64567970,-87.53258959
1.66000000,-86.63821989,-87.52834254
1.71000000,-86.62780642,-87.52114016
1.76000000,-86.61659942,-87.51070799
1.81000000,-86.60753888,-87.49826099
1.86000000,-86.59832903,-87.48573302
1.91000000,-86.58854079,-87.47306120
1.96000000,-86.57829343,-87.46032839
2.01000000,-86.56786513,-87.44757890
2.06000000,-86.55760745,-87.43482891
2.11000000,-86.54787142,-87.42232024
2.16000000,-86.53890018,-87.41039187
