Z,SCF,CCSD
1.16,-86.33163287,-87.15435144
1.21,-86.42473548,-87.25344682
1.26,-86.49676695,-87.33034833
1.31,-86.55120707,-87.38868638
1.36,-86.59090819,-87.43158467
1.41,-86.61830409,-87.46177069
1.46,-86.63550939,-87.48163125
1.51,-86.64436686,-87.49320119
1.56,-86.64647688,-87.49820917
1.61,-86.64322765,-87.49811832
1.66,-86.63584083,-87.49413735
1.71,-86.62548568,-87.48716881
1.76,-86.61432790,-87.47689960
1.81,-86.60529128,-87.46461268
1.86,-86.59609189,-87.45221277
1.91,-86.58630725,-87.43966213
1.96,-86.57605932,-87.42701557
2.01,-86.56562707,-87.41434235
2.06,-86.55536162,-87.40165748
2.11,-86.54561377,-87.38924032
2.16,-86.53662784,-87.37741408
