   Z,SCF,CCSD
1.16000000,-86.09194020,-86.96167431
1.21000000,-86.18540631,-87.06044000
1.26000000,-86.25780830,-87.13712708
1.31000000,-86.31261792,-87.19532732
1.36000000,-86.35267958,-87.23814193
1.41000000,-86.38041851,-87.26827096
1.46000000,-86.39794136,-87.28807510
1.51000000,-86.40708606,-87.29958288
1.56000000,-86.40945331,-87.30451298
1.61000000,-86.40643721,-87.30433422
1.66000000,-86.39927223,-87.30022645
1.71000000,-86.38915665,-87.29313593
1.76000000,-86.37826990,-87.28290199
1.81000000,-86.36923319,-87.27062513
1.86000000,-86.36004475,-87.25817044
1.91000000,-86.35027429,-87.24553156
1.96000000,-86.34003138,-87.23282630
2.01000000,-86.32958698,-87.22009335
2.06000000,-86.31928825,-87.20735465
2.11000000,-86.30948914,-87.19477760
2.16000000,-86.30044389,-87.18274966
