   Z,SCF,CCSD
1.16000000,-86.09048629,-86.94592929
1.21000000,-86.18400091,-87.04499599
1.26000000,-86.25643668,-87.12193371
1.31000000,-86.31126747,-87.18034993
1.36000000,-86.35134020,-87.22334580
1.41000000,-86.37908388,-87.25363444
1.46000000,-86.39660910,-87.27358091
1.51000000,-86.40575642,-87.28522072
1.56000000,-86.40812710,-87.29027327
1.61000000,-86.40511445,-87.29020436
1.66000000,-86.39795141,-87.28620837
1.71000000,-86.38783413,-87.27920884
1.76000000,-86.37692756,-87.26904707
1.81000000,-86.36787669,-87.25681209
1.86000000,-86.35868261,-87.24440339
1.91000000,-86.34890952,-87.23180743
1.96000000,-86.33866553,-87.21913542
2.01000000,-86.32822055,-87.20643692
2.06000000,-86.31792091,-87.19371884
2.11000000,-86.30812007,-87.18119457
2.16000000,-86.29907225,-87.16921194
