     Z,SCF,CCSD
1.160, -86.08846315,-86.90903879
1.210, -86.18220016,-87.00885975
1.260, -86.25483927,-87.08646852
1.310, -86.30986107,-87.14547816
1.360, -86.35011121,-87.18899943
1.410, -86.37801524,-87.21975227
1.460, -86.39568150,-87.24010818
1.510, -86.40495032,-87.25210928
1.560, -86.40742406,-87.25748828
1.610, -86.40449764,-87.25771117
1.660, -86.39740613,-87.25397366
1.710, -86.38735056,-87.24720715
1.760, -86.37652894,-87.23719513
1.810, -86.36752802,-87.22512537
1.860, -86.35835557,-87.21285340
1.910, -86.34859229,-87.20039919
1.960, -86.33835116,-87.18782165
2.010, -86.32790392,-87.17520293
2.060, -86.31759737,-87.16256533
2.110, -86.30778539,-87.15011827
2.160, -86.29872364,-87.13824971
