z,uc,bfd,stu,tn17,ccECP.S,ccECP,ae
1.0,0.13460644999998084,0.1342990558539986,0.13283302999999813,0.1347819713790107,0.1341502999999994,0.13466459546900234,0.13433002645308778
1.05,0.08671644999992867,0.08610704585400464,0.08516396000000039,0.08693027137900111,0.08630658000001057,0.08683549546900104,0.08655102645309642
1.1,0.04789744999982548,0.04704510585400834,0.04653611999999663,0.04811700137900965,0.04751095000000072,0.048053715469007385,0.04782402645298833
1.15,0.016594449999845606,0.015562835854010415,0.015394400000002917,0.01678705137900971,0.01621020000000095,0.016759275469011015,0.016598026453155112
1.2,-0.008458549999997844,-0.009611924145988326,-0.009512709999997981,-0.008303878620994909,-0.00885142999999522,-0.008296254530992031,-0.008385973546976233
1.25,-0.028283550000080426,-0.02951511414599628,-0.029206169999997145,-0.028175058620990456,-0.028693849999998577,-0.0281364745309981,-0.028147973546876814
1.3,-0.04374255000004479,-0.0450326241459914,-0.04454201999999674,-0.043679958621000936,-0.04417142000000019,-0.043611704530990836,-0.043552973546977514
1.35,-0.055581550000053825,-0.056913304145995824,-0.05625270999999776,-0.05554400862100073,-0.056009079999997824,-0.05544824453099529,-0.05533397354690561
1.4,-0.06440955000004789,-0.0657801541459998,-0.06497713999999866,-0.06440255862100008,-0.06484286999999489,-0.06428253453099109,-0.06411097354691475
1.45,-0.0707525500000632,-0.07216036414598881,-0.07122587000000868,-0.07076710862100077,-0.07118007999999298,-0.07062456453099009,-0.07040597354682387
1.5,-0.07503555000004991,-0.0764747641460014,-0.07543020000000189,-0.07506819862099924,-0.07545929000000007,-0.07490570453099343,-0.07464197354704294
1.55,-0.07761555000012987,-0.07908275414598853,-0.07795131000000545,-0.07768106862099222,-0.07804440999999207,-0.07750143453098934,-0.0771799735467742
1.6,-0.07879455000022272,-0.08028559414599334,-0.07908319000000807,-0.0788881486209926,-0.07922900000000033,-0.07869262453098946,-0.07831297354698319
1.65,-0.07882055000015709,-0.08032992414598772,-0.07907548000000253,-0.07894696862099926,-0.07926784999999603,-0.07873801453100049,-0.07829097354703873
1.7,-0.07790154999986254,-0.07943092414599795,-0.07813894999999837,-0.07806864862100105,-0.07837245999999942,-0.07783847453099448,-0.07732597354686033
1.75,-0.07622055000012762,-0.0777690041459943,-0.07644899999999899,-0.07642242862098902,-0.07671216000000193,-0.07619407453099092,-0.07558797354692826
1.8,-0.07391554999992178,-0.07547077414600045,-0.07415032000000343,-0.07417409862098856,-0.07444597000000164,-0.07392635453099905,-0.07323697354683856
1.85,-0.07112554999991727,-0.07270699414599113,-0.07137084999999621,-0.07143119862098735,-0.07169159999999641,-0.0711799645310004,-0.07038697354698553
1.9,-0.06794855000009403,-0.06955494414599406,-0.06821959000000055,-0.06830693862099457,-0.06857223999999695,-0.06804478453099938,-0.06714797354686408
1.95,-0.06448054999998232,-0.0661071041460014,-0.0647869900000041,-0.06489907862099875,-0.06515056999998825,-0.06462950453100069,-0.0636099735469291
2.0,-0.0607885499999814,-0.06244142414598975,-0.061143360000004976,-0.061285768620993,-0.06153122999998806,-0.06099832453098719,-0.05985797354707967
