r,ae,uc,bfd,stu87,tn17,g43,g73
1.0,0.183396011751,0.184262061751,0.186600386106,0.182901163106,0.183281696106,0.183939180106,
1.1,0.090211081751,0.090758741751,0.092868796106,0.089891047106,0.090151689106,0.090778102106,
1.2,0.0250350517509,0.0253568017509,0.026796448106,0.024820430106,0.025013809106,0.025567481106,0.025536769106
1.3,-0.020048778249,-0.019890498249,-0.019129768894,-0.020160106894,-0.020041918894,-0.019552595894,-0.019647047894
1.4,-0.050247288249,-0.050202878249,-0.049988598894,-0.050240527894,-0.050210207894,-0.049766949894,-0.049913320894
1.5,-0.069332798249,-0.069371098249,-0.069552056894,-0.069205189894,-0.069266597894,-0.068853868894,-0.069039573894
1.6,-0.080166788249,-0.080275158249,-0.080722359894,-0.079933927894,-0.080082001894,-0.079690124894,-0.079903916894
1.7,-0.0849596082491,-0.085129928249,-0.085742810894,-0.084639921894,-0.084864541894,-0.084488380894,-0.084721162894
1.8,-0.085409858249,-0.085631678249,-0.086334779894,-0.085016643894,-0.085306180894,-0.084943114894,-0.085187383894
1.9,-0.082807538249,-0.083070228249,-0.083806934894,-0.082350029894,-0.082692784894,-0.082341843894,-0.082591921894
2.0,-0.078125398249,-0.078419618249,-0.079147468894,-0.077610744894,-0.077995510894,-0.077656745894,-0.077908094894
2.1,-0.072094558249,-0.072412988249,-0.073098937894,-0.071528168894,-0.071944286894,-0.071618069894,-0.071867466894
2.2,-0.065264098249,-0.065600888249,-0.066218919894,-0.064650260894,-0.065087252894,-0.064774026894,-0.065018294894
