r ae uc bfd stu87 tn17 g43
1.0 0.182286978487 0.183587063534 0.185790865628 0.18223448435 0.182635471403 0.183258771136
1.1 0.0895625850655 0.0903032684823 0.092236685531 0.089447794103 0.0897300360783 0.0903244865614
1.2 0.0247004946586 0.0250746861209 0.0262863772225 0.0245541098629 0.0247704580215 0.0252930054919
1.3 -0.0201831245804 -0.0200487853882 -0.0195750975605 -0.0202994933624 -0.0201580777467 -0.0196984036839
1.4 -0.0502704317486 -0.0502808093795 -0.0504177346928 -0.0502962319345 -0.0502434057244 -0.0498285050772
1.5 -0.0692921797446 -0.0693973972344 -0.0700029569062 -0.069199004994 -0.0692456322297 -0.0688583182323
1.6 -0.0800671541489 -0.0802621620151 -0.081221928158 -0.0798921823182 -0.0800194038477 -0.0796521168741
1.7 -0.0847931593643 -0.0850796883475 -0.0862006856098 -0.0845588718288 -0.0847627651723 -0.0844115025033
1.8 -0.0851777179783 -0.0855433921324 -0.0867398552668 -0.0848958101803 -0.0851647290152 -0.0848269736732
1.9 -0.0825226528944 -0.0829475836652 -0.0841657987881 -0.0821928592564 -0.0825150333338 -0.0821898001232
2.0 -0.0778095657313 -0.0782727568977 -0.0794702587722 -0.0774271476431 -0.0777909024879 -0.0774784503881
2.1 -0.0717702538968 -0.0722554942144 -0.073397780015 -0.0713309140315 -0.0717249449452 -0.0714259032514
2.2 -0.0649493018131 -0.0654442886781 -0.0665052409434 -0.0644505362567 -0.0648636535165 -0.0645787938896
