z,uc,bfd,stu,tn17,ccECP.S,ae
1.1,0.09971155801377307,0.10422633227537237,0.1002190733673115,0.09914040099056198,0.09932540848404703,0.09868685814637941
1.15,0.06335954275123612,0.06737807161474596,0.06401329135304767,0.06282902971272197,0.06301047879757793,0.06247169952113896
1.2,0.03318247738962299,0.03672420232027751,0.03396293704714115,0.03268008338522155,0.03285437486210985,0.03240398036184815
1.25,0.00823864898648452,0.011339276373098284,0.009126069607651499,0.007760469071867004,0.007912448677549588,0.007548177898691149
1.3,-0.012253297083198332,-0.009544397536190519,-0.011264022052580702,-0.01271381433551422,-0.012575981435590468,-0.012862983550805106
1.35,-0.028935064805587274,-0.026566810180698286,-0.027855211200454977,-0.02937744084518268,-0.0292603152321379,-0.029468037632378288
1.4,-0.04236148081901803,-0.04029414363911765,-0.041197824500374014,-0.04278528046896379,-0.04269183582648306,-0.04281523200393147
1.45,-0.052983330145544016,-0.05118921384240759,-0.051761880797224324,-0.0533983969256101,-0.05332923933473832,-0.05337563227072827
1.5,-0.06124242661821455,-0.059666889741658014,-0.05995836651963937,-0.0616306531221954,-0.06159365639016723,-0.061561272989403684
1.55,-0.06747511139946738,-0.06608014525416361,-0.06613308355523084,-0.06784813326725636,-0.06782933243258948,-0.06772882640969981
1.6,-0.0719702442067458,-0.07074161049980343,-0.0706151094098234,-0.07235814782662142,-0.07233689520752218,-0.07217589396873121
1.65,-0.0750206834517897,-0.07391638679640689,-0.07360239544309788,-0.07536232368797069,-0.07538532791479635,-0.07517901732934297
1.7,-0.07685296447295543,-0.0758351818650399,-0.07534926002962716,-0.07715242793831034,-0.0771736375965889,-0.07698854516797711
1.75,-0.07760668780264977,-0.07670136486413692,-0.0760840604939278,-0.0778979780563861,-0.07797210769661855,-0.07772162689450304
1.8,-0.0775040701748324,-0.0766819403099691,-0.0759591221577852,-0.07778964404838884,-0.0778821167765943,-0.07756909270146703
1.85,-0.076667673907032,-0.07591713880003137,-0.07512294643647434,-0.07694355970385114,-0.07703022542386317,-0.07674480840856099
1.9,-0.07522957543353215,-0.07450904390544533,-0.07364320611370967,-0.07546955105789432,-0.07558662912463798,-0.07529757174016734
1.95,-0.07326565232819604,-0.0726273402025458,-0.0716914543931767,-0.07352711344104701,-0.07360572568327395,-0.07335694416723366
2.0,-0.07094138192650945,-0.07031977001294532,-0.06935513743158761,-0.07118149512666061,-0.07129912301351904,-0.07097153534709882
2.05,-0.06825791798127767,-0.06763991867529906,-0.06668329104011572,-0.06846435899449854,-0.06859384154101089,-0.0683062526176405
2.1,-0.06530007661826431,-0.06474318204236507,-0.06374154426865342,-0.06550943622606009,-0.0656531913458539,-0.06534654340938009
