z,uc,bfd,stu,tn17,ccECP.S,ccECP,ae
1.16,0.09541169000017646,0.10682052878099846,0.09065489420099127,0.09655644999998712,0.09148136000000129,0.09173755000000304,0.09295713000004469
1.21,-0.003071309999924665,0.0066488587810038515,-0.006635385799004467,-0.0022092400000062185,-0.006538859999993818,-0.006318500000007887,-0.0050668700000784375
1.26,-0.07945530999988648,-0.07124983121900819,-0.08196228579901188,-0.07889632000000546,-0.08251933999999217,-0.08231254000000554,-0.08105886999989309
1.31,-0.13737730999996245,-0.13044289121900654,-0.1389251057990073,-0.13709656000001047,-0.14006182999999517,-0.13985148999999986,-0.13864087000003167
1.36,-0.17994831000002875,-0.17403489121899618,-0.1806353257990061,-0.179911170000004,-0.18227460000000129,-0.18205086999999942,-0.18091787000004445
1.41,-0.2098753099999584,-0.2047655012190024,-0.20979510579900662,-0.21004020000000168,-0.21186742999999983,-0.21162509000000007,-0.21059486999980948
1.46,-0.22952531000002807,-0.225017701219004,-0.2287708357990006,-0.22984434000000675,-0.23120245999999334,-0.23093964000000433,-0.23002186999998742
1.51,-0.24091230999992774,-0.23686275121900913,-0.2395765357990065,-0.24135212000000905,-0.24230564999999338,-0.24202232000000556,-0.24122386999989942
1.56,-0.24575430999986736,-0.24205368121900683,-0.24393424579900014,-0.24628222000000474,-0.24689241000000275,-0.2465893600000033,-0.2459148699999929
1.61,-0.2455213099998872,-0.24206061121900468,-0.24328830579900185,-0.2461034600000076,-0.24642681999999813,-0.2461080599999992,-0.24553887000003272
1.66,-0.2413843099999866,-0.2380908612190087,-0.2388085157990112,-0.2419956900000031,-0.2420820299999935,-0.24174413999999622,-0.24129386999995006
1.71,-0.2342953099999221,-0.23111200121900488,-0.23140949579900294,-0.23490517000001176,-0.23480042999999462,-0.2344475099999972,-0.23411587000011025
