z,uc,bfd,stu,ccECP.S,ccECP,ae
1.125,-0.06768599999997815,-0.064502359999975,-0.06767670000001869,-0.06891967999999092,-0.06793641000003225,-0.06807437000008787
1.175,-0.08500900000001121,-0.08171025999999171,-0.0848345999999911,-0.08612908000000385,-0.08528341000000472,-0.08538837000002998
1.225,-0.09764000000006698,-0.09422856000000236,-0.09735580000002853,-0.098654679999979,-0.09792941000002264,-0.09801736999986344
1.275,-0.10650799999996008,-0.10298295999998897,-0.10614879999999728,-0.1074238800000249,-0.10680270999999897,-0.10688636999986767
1.325,-0.11235600000020196,-0.108723059999986,-0.11195170000001764,-0.11318048000000867,-0.11265580999999493,-0.11273536999999335
1.375,-0.11578500000007108,-0.11204915999999554,-0.1153640999999912,-0.11653087999999667,-0.11608571000000956,-0.11617136999995847
1.425,-0.11728699999991687,-0.1134580599999968,-0.1168727000000136,-0.1179622800000264,-0.11759161000002173,-0.1176833700000064
1.475,-0.11726099999998252,-0.11334185999998893,-0.11686670000000032,-0.11787778000001235,-0.11756691000001017,-0.11766436999994068
1.525,-0.11603100000013213,-0.11202575999999208,-0.11566730000001013,-0.11659567999998655,-0.11633891000001262,-0.11643936999996395
1.575,-0.1138600000000427,-0.10977266000000196,-0.11353899999997208,-0.1143773800000052,-0.11417250999999118,-0.11427636999985435
1.625,-0.11096300000019466,-0.10679835999999664,-0.1106883000000185,-0.11144258000001384,-0.11127951000001934,-0.11138837000009727
1.675,-0.1075160000001436,-0.1032774599999844,-0.10730039999998307,-0.10796407999998547,-0.10783730999996756,-0.10794737000003107
1.725,-0.10366300000020813,-0.09935115999999522,-0.10350470000002797,-0.10408097999998957,-0.10398830999999352,-0.10410037000008043
1.775,-0.0995080000001256,-0.09513706000001076,-0.09940610000000773,-0.099906280000025,-0.0998500099999996,-0.0999583700000788
1.825,-0.09516600000017417,-0.09073195999999696,-0.09512520000001,-0.09554557999999004,-0.09551871000000978,-0.09561937000000607
1.875,-0.09070700000017706,-0.08621095999998585,-0.09072199999999707,-0.09107078000002143,-0.09106841000000776,-0.09116436999999887
1.925,-0.08619099999998281,-0.0816389599999614,-0.08626749999998863,-0.08655028000000907,-0.08655961000001132,-0.08664237000004715
1.975,-0.08167200000013719,-0.07706776000000315,-0.08181699999999847,-0.08201797999998672,-0.08205080999998647,-0.08213636999982765
2.025,-0.07719499999995816,-0.07253375999999645,-0.0773965999999835,-0.07754267999999097,-0.07758671000000794,-0.077659369999876
2.075,-0.07278800000005714,-0.06808416000000972,-0.073038300000005,-0.07313478000000129,-0.07320391000003446,-0.07324937000009624
