  AE &   UC &     BFD &      STU &   eCEPP &  ccECP.S/60 & ccECP   
    -1.639160 &  0.008708 &  0.100464 & 0.075539 &  0.002912 &  0.002231 & -0.007320 
    -1.026768 &  0.012626 &  0.109308 & 0.070858 & -0.002395 & -0.001850 & -0.015864 
     3.444963 &  0.006449 &  0.189582 & 0.145908 & -0.006204 & -0.002068 & -0.024681 
     7.256491 &  0.003483 &  0.003102 & 0.016517 & -0.016762 & -0.011701 & -0.017497 
     5.735591 &  0.023783 &  0.139894 & 0.140656 &  0.010259 &  0.016681 & -0.005632 
    22.265020 &  0.013198 &  0.032490 & 0.127077 & -0.010531 &  0.006177 & -0.003946 
    53.342070 & -0.022558 & -0.082097 & 0.181337 & -0.015293 & -0.003129 &  0.008626 
   102.464577 & -0.084655 & -0.217174 & 0.344850 &  0.022232 & -0.012436 &  0.032518 
   171.920939 & -0.176820 & -0.446866 & 0.669754 &  0.143731 & -0.017361 &  0.082695 
   262.444038 & -0.312659 & -1.402775 & 1.242200 &  0.422348 &  0.020817 &  0.217202 
