         AE &        UC &       BFD &     STU &       eCEPP &  ccECP.S & ccECP  
  -2.760729 &  0.004101 &  0.053157 &  0.039397 &  -0.000870 &   -0.016530 &         -0.006277 
  -1.513939 &  0.007503 &  0.047758 &  0.042300 &   0.004682 &   -0.020428 &         -0.007892 
   9.062324 &  0.005137 & -0.006833 &  0.004934 &   0.003888 &   -0.003649 &         -0.002273 
   6.223451 &  0.013241 &  0.014972 &  0.047085 &   0.003103 &   -0.032589 &         -0.008363 
  26.646257 &  0.012720 & -0.009051 &  0.024636 &   0.003493 &   -0.009803 &          0.010994 
  63.558190 & -0.000543 & -0.027268 &  0.020881 &   0.003248 &    0.010925 &          0.017731 
 121.008477 & -0.025039 & -0.028883 &  0.055165 &   0.013036 &    0.018442 &         -0.001066 
 201.489726 & -0.062319 & -0.024452 &  0.156973 &   0.047778 &    0.010412 &         -0.036229 
 305.535974 & -0.122740 & -0.058675 &  0.364107 &   0.118660 &   -0.008278 &         -0.054449 
 444.867210 & -0.207748 &  0.024219 &  0.733521 &   0.331561 &   -0.002246 &         -0.067000 
 612.257887 & -0.328280 & -0.034713 &  1.317769 &   0.665239 &    0.022817 &          0.031193 
 811.134546 & -0.476918 & -0.377656 &  2.138293 &   1.124162 &    0.032874 &          0.255770 
1043.247944 & -0.657795 & -1.166121 &  3.235735 &   1.709602 &    0.012528 &          0.655110 
1308.271906 & -0.893022 & -2.520960 &  4.697743 &   2.455655 &   -0.013314 &          1.337623 
