       AE &        UC &       BFD &      STU &     eCEPP &   ccECP.S &     ccECP   
    -0.057987 &  0.001660 &  0.156504 & 0.044160 &  0.011820 &  0.007696 & -0.005231 
     0.888551 &  0.006370 &  0.171349 & 0.033548 &  0.008323 & -0.002355 & -0.014157 
     4.157110 &  0.010139 &  0.291230 & 0.092898 &  0.030171 & -0.003989 & -0.017050 
     7.885826 &  0.004183 &  0.001180 & 0.005114 & -0.004736 & -0.020115 & -0.015930 
     8.162522 &  0.016486 &  0.199663 & 0.071353 &  0.026536 &  0.002202 & -0.002154 
    24.090858 &  0.014936 &  0.033942 & 0.099740 &  0.010690 &  0.008389 &  0.013777 
    54.661521 & -0.005615 & -0.168899 & 0.206248 & -0.017071 &  0.004946 &  0.021878 
   109.577638 & -0.051901 & -0.192542 & 0.455601 & -0.007441 & -0.005419 & -0.008571 
   185.022592 & -0.129771 & -0.222149 & 0.890969 &  0.067005 & -0.000924 & -0.005565 
   284.232562 & -0.235873 & -0.354853 & 1.557802 &  0.247372 &  0.001835 &  0.040188 
   409.151353 & -0.374283 & -0.745345 & 2.506921 &  0.518200 & -0.005224 &  0.160413 
   560.024014 & -0.563164 & -1.561520 & 3.821096 &  0.924669 &  0.002865 &  0.431303 
