      AE &    UC  &    BFD &     STU &      eCEPP & ccECP.S & ccECP 
     1.299360 &  0.001050 &  0.146607 &  0.028564 &  0.004187 &  -0.003555 &   -0.006144 
     2.151429 &  0.006575 &  0.169347 &  0.010605 &  0.002082 &  -0.006991 &   -0.013559 
     5.772304 &  0.007078 &  0.285947 &  0.059634 &  0.018798 &   0.004177 &   -0.003478 
     7.414670 &  0.003239 & -0.003639 & -0.004177 & -0.006771 &  -0.008937 &   -0.008985 
     9.245516 &  0.007056 &  0.194099 &  0.017318 &  0.003874 &  -0.015398 &   -0.013276 
    23.059159 &  0.014572 &  0.022398 &  0.081569 &  0.014290 &   0.030141 &    0.050613 
    56.822155 & -0.015390 & -0.072555 &  0.256077 & -0.026524 &   0.016815 &    0.033293 
   108.315370 & -0.074830 & -0.158482 &  0.600224 & -0.059576 &   0.010784 &    0.017702 
   180.815120 & -0.162619 & -0.291000 &  1.159615 & -0.070647 &   0.003077 &    0.004779 
   276.392004 & -0.282966 & -0.586852 &  1.989336 & -0.043384 &  -0.008268 &    0.013606 
   395.519402 & -0.451819 & -1.184772 &  3.166735 &  0.029970 &   0.001807 &    0.103825 
