 AE &         UC &       BFD &       STU &   ccECP.S &     ccECP     
     9.411709 &  0.004952 &  0.018765 &  0.004463 &  0.007538 &  0.000215 
    17.323005 & -0.009362 & -0.205955 & -0.022585 &  0.009686 &  0.022019 
    27.392261 &  0.011411 &  0.036333 &  0.006989 &  0.002052 & -0.009078 
    67.262367 &  0.003722 & -0.050548 &  0.003788 &  0.010425 &  0.013184 
   126.975193 & -0.018903 & -0.090639 &  0.051139 &  0.013474 &  0.028731 
   210.344966 & -0.052708 & -0.055643 &  0.173830 &  0.006980 &  0.031967 
   319.614848 & -0.099359 &  0.033786 &  0.406930 & -0.008892 &  0.026004 
   455.004148 & -0.170049 &  0.098292 &  0.795761 & -0.026917 &  0.025026 
   629.026722 & -0.264676 &  0.351989 &  1.415417 & -0.015099 &  0.072364 
   833.485035 & -0.396401 &  0.369407 &  2.316968 &  0.018092 &  0.171157 
 1071.906266 & -0.556213 & -0.076598 &  3.529685 &  0.034067 &  0.296417 
 1346.006047 & -0.748315 & -2.414393 &  5.101447 &  0.007904 &  0.438073 
 1655.288042 & -0.996097 & -3.118490 &  7.132298 & -0.032440 &  0.638571 
